task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P008291_P009660_110,relocate,P009660,C1,16896.0,16962.0
OUT_L1_P008291_148,outbound,P008291,C1,16962.0,17028.0
R_L1_P005029_P008269_111,relocate,P008269,C1,17028.0,17094.0
R_L1_P005029_P008291_112,relocate,P008291,C1,17094.0,17160.0
OUT_L1_P005029_149,outbound,P005029,C1,17160.0,17226.0
R_L1_P000698_P005029_113,relocate,P005029,C1,17226.0,17292.0
OUT_L1_P000698_150,outbound,P000698,C1,17292.0,17358.0
R_L1_P004900_P003081_114,relocate,P003081,C1,17358.0,17424.0
R_L1_P004900_P008901_115,relocate,P008901,C1,17424.0,17490.0
OUT_L1_P004900_151,outbound,P004900,C1,17490.0,17556.0
R_L1_P003579_P004900_116,relocate,P004900,C1,17556.0,17622.0
OUT_L1_P003579_152,outbound,P003579,C1,17622.0,17688.0
R_L1_P006019_P003064_117,relocate,P003064,C1,17688.0,17754.0
R_L1_P006019_P003579_118,relocate,P003579,C1,17754.0,17820.0
OUT_L1_P006019_153,outbound,P006019,C1,17820.0,17886.0
R_L1_P000717_P006019_119,relocate,P006019,C1,17886.0,17952.0
OUT_L1_P000717_154,outbound,P000717,C1,17952.0,18018.0
R_L1_P004539_P003879_120,relocate,P003879,C1,18018.0,18084.0
R_L1_P004539_P002515_121,relocate,P002515,C1,18084.0,18150.0
OUT_L1_P004539_155,outbound,P004539,C1,18150.0,18216.0
R_L1_P001393_P000635_122,relocate,P000635,C1,18216.0,18282.0
R_L1_P001393_P008737_123,relocate,P008737,C1,18282.0,18348.0
OUT_L1_P001393_156,outbound,P001393,C1,18348.0,18414.0
R_L1_P002278_P001758_124,relocate,P001758,C1,18414.0,18480.0
R_L1_P002278_P002241_125,relocate,P002241,C1,18480.0,18546.0
OUT_L1_P002278_157,outbound,P002278,C1,18546.0,18612.0
R_L1_P001458_P003688_126,relocate,P003688,C1,18612.0,18678.0
R_L1_P001458_P000966_127,relocate,P000966,C1,18678.0,18744.0
OUT_L1_P001458_158,outbound,P001458,C1,18744.0,18810.0
R_L1_P006401_P005532_128,relocate,P005532,C1,18810.0,18876.0
R_L1_P006401_P005866_129,relocate,P005866,C1,18876.0,18942.0
OUT_L1_P006401_159,outbound,P006401,C1,18942.0,19008.0
R_L1_P002602_P009925_130,relocate,P009925,C1,19008.0,19074.0
R_L1_P002602_P003853_131,relocate,P003853,C1,19074.0,19140.0
OUT_L1_P002602_160,outbound,P002602,C1,19140.0,19206.0
R_L1_P006968_P005236_132,relocate,P005236,C1,19206.0,19272.0
R_L1_P006968_P005638_133,relocate,P005638,C1,19272.0,19338.0
OUT_L1_P006968_161,outbound,P006968,C1,19338.0,19404.0
R_L1_P004191_P008103_134,relocate,P008103,C1,19404.0,19470.0
R_L1_P004191_P001747_135,relocate,P001747,C1,19470.0,19536.0
OUT_L1_P004191_162,outbound,P004191,C1,19536.0,19602.0
R_L1_P009712_P009633_136,relocate,P009633,C1,19602.0,19668.0
R_L1_P009712_P006318_137,relocate,P006318,C1,19668.0,19734.0
OUT_L1_P009712_163,outbound,P009712,C1,19734.0,19800.0
R_L1_P003287_P001537_138,relocate,P001537,C1,19800.0,19866.0
R_L1_P003287_P004340_139,relocate,P004340,C1,19866.0,19932.0
OUT_L1_P003287_164,outbound,P003287,C1,19932.0,19998.0
R_L1_P006442_P009731_140,relocate,P009731,C1,19998.0,20064.0
R_L1_P006442_P003287_141,relocate,P003287,C1,20064.0,20130.0
OUT_L1_P006442_165,outbound,P006442,C1,20130.0,20196.0
R_L1_P009525_P002012_142,relocate,P002012,C1,20196.0,20262.0
R_L1_P009525_P005158_143,relocate,P005158,C1,20262.0,20328.0
OUT_L1_P009525_166,outbound,P009525,C1,20328.0,20394.0
R_L1_P003596_P007299_144,relocate,P007299,C1,20394.0,20460.0
R_L1_P003596_P003467_145,relocate,P003467,C1,20460.0,20526.0
