cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,424,P004218,89166.0,89166.0,89232.0
L1,425,P007190,89562.0,89562.0,89628.0
L1,426,P006388,89760.0,89760.0,89826.0
L1,427,P000151,90156.0,90156.0,90222.0
L1,428,P008093,90420.0,90420.0,90486.0
L1,429,P000812,90816.0,90816.0,90882.0
L1,430,P003506,91014.0,91014.0,91080.0
L1,431,P004950,91212.0,91212.0,91278.0
L1,432,P002752,91608.0,91608.0,91674.0
L1,433,P007302,92004.0,92004.0,92070.0
L1,434,P002310,92400.0,92400.0,92466.0
L1,435,P007028,92796.0,92796.0,92862.0
L1,436,P006828,93192.0,93192.0,93258.0
L1,437,P004117,93588.0,93588.0,93654.0
L1,438,P008752,93984.0,93984.0,94050.0
L1,439,P009496,94116.0,94116.0,94182.0
L1,440,P005854,94314.0,94314.0,94380.0
L1,441,P003280,94710.0,94710.0,94776.0
L1,442,P008344,95106.0,95106.0,95172.0
L1,443,P005193,95502.0,95502.0,95568.0
L1,444,P006651,95898.0,95898.0,95964.0
L1,445,P002581,96162.0,96162.0,96228.0
L1,446,P007803,96558.0,96558.0,96624.0
L1,447,P008911,96888.0,96888.0,96954.0
L1,448,P002467,97284.0,97284.0,97350.0
L1,449,P003697,97680.0,97680.0,97746.0
L1,450,P004355,97812.0,97812.0,97878.0
L1,451,P009611,98208.0,98208.0,98274.0
L1,452,P000869,98604.0,98604.0,98670.0
L1,453,P009364,99000.0,99000.0,99066.0
L1,454,P001828,99396.0,99396.0,99462.0
L1,455,P002541,99528.0,99528.0,99594.0
L1,456,P000912,99660.0,99660.0,99726.0
L1,457,P002969,100056.0,100056.0,100122.0
L1,458,P002236,100452.0,100452.0,100518.0
L1,459,P000284,100584.0,100584.0,100650.0
L1,460,P003856,100914.0,100914.0,100980.0
L1,461,P008563,101178.0,101178.0,101244.0
L1,462,P009303,101442.0,101442.0,101508.0
L1,463,P000318,101838.0,101838.0,101904.0
L1,464,P004251,102102.0,102102.0,102168.0
L1,465,P000113,102498.0,102498.0,102564.0
L1,466,P001987,102894.0,102894.0,102960.0
L1,467,P000348,103092.0,103092.0,103158.0
L1,468,P006700,103488.0,103488.0,103554.0
L1,469,P003283,103884.0,103884.0,103950.0
L1,470,P004601,104280.0,104280.0,104346.0
L1,471,P006957,104676.0,104676.0,104742.0
L1,472,P008386,105072.0,105072.0,105138.0
L1,473,P005282,105468.0,105468.0,105534.0
L1,474,P000517,105864.0,105864.0,105930.0
L1,475,P004767,106194.0,106194.0,106260.0
L1,476,P009190,106590.0,106590.0,106656.0
L1,477,P008185,106986.0,106986.0,107052.0
L1,478,P000105,107382.0,107382.0,107448.0
L1,479,P007204,107778.0,107778.0,107844.0
L1,480,P009546,108174.0,108174.0,108240.0
L1,481,P004947,108306.0,108306.0,108372.0
L1,482,P002848,108702.0,108702.0,108768.0
L1,483,P006647,109098.0,109098.0,109164.0
L1,484,P001909,109494.0,109494.0,109560.0
L1,485,P006515,109692.0,109692.0,109758.0
L1,486,P000617,110088.0,110088.0,110154.0
L1,487,P008887,110550.0,110550.0,110616.0
L1,488,P000817,111012.0,111012.0,111078.0
L1,489,P005052,111474.0,111474.0,111540.0
L1,490,P000675,111870.0,111870.0,111936.0
L1,491,P003466,112332.0,112332.0,112398.0
L1,492,P002548,112794.0,112794.0,112860.0
L1,493,P004033,112992.0,112992.0,113058.0
L1,494,P009123,113322.0,113322.0,113388.0
L1,495,P007516,113784.0,113784.0,113850.0
L1,496,P004850,114246.0,114246.0,114312.0
L1,497,P007827,114708.0,114708.0,114774.0
L1,498,P004540,115170.0,115170.0,115236.0
L1,499,P001829,115632.0,115632.0,115698.0
L1,500,P006059,116094.0,116094.0,116160.0
L1,501,P000852,116556.0,116556.0,116622.0
L1,502,P004131,117018.0,117018.0,117084.0
L1,503,P005132,117150.0,117150.0,117216.0
L1,504,P000526,117480.0,117480.0,117546.0
L1,505,P001982,117612.0,117612.0,117678.0
L1,506,P000161,118074.0,118074.0,118140.0
L1,507,P007630,118536.0,118536.0,118602.0
L1,508,P000574,118998.0,118998.0,119064.0
L1,509,P001727,119460.0,119460.0,119526.0
L1,510,P009369,119592.0,119592.0,119658.0
L1,511,P000938,119724.0,119724.0,119790.0
L1,512,P002974,119922.0,119922.0,119988.0
L1,513,P003290,120186.0,120186.0,120252.0
L1,514,P002523,120384.0,120384.0,120450.0
L1,515,P009301,120846.0,120846.0,120912.0
L1,516,P004223,121176.0,121176.0,121242.0
L1,517,P007125,121638.0,121638.0,121704.0
L1,518,P004343,121770.0,121770.0,121836.0
L1,519,P009294,122232.0,122232.0,122298.0
L1,520,P004583,122628.0,122628.0,122694.0
L1,521,P006460,123090.0,123090.0,123156.0
L1,522,P003953,123420.0,123420.0,123486.0
L1,523,P003524,123750.0,123750.0,123816.0
L1,524,P003004,124212.0,124212.0,124278.0
L1,525,P000099,124410.0,124410.0,124476.0
L1,526,P000402,124674.0,124674.0,124740.0
L1,527,P009463,125070.0,125070.0,125136.0
L1,528,P004520,125532.0,125532.0,125598.0
L1,529,P005809,125994.0,125994.0,126060.0
L1,530,P006096,126456.0,126456.0,126522.0
L1,531,P000732,126786.0,126786.0,126852.0
L1,532,P007851,127248.0,127248.0,127314.0
L1,533,P000481,127380.0,127380.0,127446.0
L1,534,P006873,127842.0,127842.0,127908.0
L1,535,P004151,128304.0,128304.0,128370.0
L1,536,P004819,128568.0,128568.0,128634.0
L1,537,P000734,129030.0,129030.0,129096.0
L1,538,P000228,129162.0,129162.0,129228.0
L1,539,P006634,129624.0,129624.0,129690.0
L1,540,P007227,130086.0,130086.0,130152.0
L1,541,P002475,130482.0,130482.0,130548.0
L1,542,P004839,130614.0,130614.0,130680.0
L1,543,P000168,130878.0,130878.0,130944.0
L1,544,P007277,131340.0,131340.0,131406.0
L1,545,P004746,131670.0,131670.0,131736.0
L1,546,P001769,131802.0,131802.0,131868.0
L1,547,P004902,132264.0,132264.0,132330.0
L1,548,P009232,132660.0,132660.0,132726.0
L1,549,P004630,132858.0,132858.0,132924.0
L1,550,P003125,133320.0,133320.0,133386.0
L1,551,P001108,133452.0,133452.0,133518.0
L1,552,P005515,133782.0,133782.0,133848.0
L1,553,P003292,134046.0,134046.0,134112.0
L1,554,P000206,134244.0,134244.0,134310.0
L1,555,P000181,134508.0,134508.0,134574.0
L1,556,P005134,134970.0,134970.0,135036.0
L1,557,P001434,135366.0,135366.0,135432.0
L1,558,P006896,135696.0,135696.0,135762.0
L1,559,P004080,136092.0,136092.0,136158.0
L1,560,P004911,136554.0,136554.0,136620.0
L1,561,P002586,137016.0,137016.0,137082.0
L1,562,P004455,137478.0,137478.0,137544.0
L1,563,P009470,137940.0,137940.0,138006.0
L1,564,P007473,138072.0,138072.0,138138.0
L1,565,P007614,138534.0,138534.0,138600.0
L1,566,P004708,138996.0,138996.0,139062.0
L1,567,P003860,139458.0,139458.0,139524.0
L1,568,P007975,139656.0,139656.0,139722.0
L1,569,P008904,140118.0,140118.0,140184.0
L1,570,P005516,140514.0,140514.0,140580.0
L1,571,P009792,140976.0,140976.0,141042.0
L1,572,P001126,141438.0,141438.0,141504.0
L1,573,P000301,141900.0,141900.0,141966.0
L1,574,P003391,142296.0,142296.0,142362.0
L1,575,P002194,142428.0,142428.0,142494.0
L1,576,P006355,142890.0,142890.0,142956.0
L1,577,P004377,143022.0,143022.0,143088.0
