task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P005445_P005448_2477,relocate,P005448,C1,189750.0,189816.0
R_L1_P005445_P005449_2478,relocate,P005449,C1,189816.0,189882.0
R_L1_P005445_P005450_2479,relocate,P005450,C1,189882.0,189948.0
R_L1_P005445_P005451_2480,relocate,P005451,C1,189948.0,190014.0
R_L1_P005445_P005452_2481,relocate,P005452,C1,190014.0,190080.0
R_L1_P005445_P005453_2482,relocate,P005453,C1,190080.0,190146.0
R_L1_P005445_P005454_2483,relocate,P005454,C1,190146.0,190212.0
R_L1_P005445_P005455_2484,relocate,P005455,C1,190212.0,190278.0
R_L1_P005445_P005456_2485,relocate,P005456,C1,190278.0,190344.0
OUT_L1_P005445_400,outbound,P005445,C1,190344.0,190410.0
R_L1_P006249_P006250_2486,relocate,P006250,C1,190410.0,190476.0
R_L1_P006249_P006251_2487,relocate,P006251,C1,190476.0,190542.0
R_L1_P006249_P006252_2488,relocate,P006252,C1,190542.0,190608.0
R_L1_P006249_P006253_2489,relocate,P006253,C1,190608.0,190674.0
R_L1_P006249_P006254_2490,relocate,P006254,C1,190674.0,190740.0
R_L1_P006249_P006255_2491,relocate,P006255,C1,190740.0,190806.0
R_L1_P006249_P006256_2492,relocate,P006256,C1,190806.0,190872.0
OUT_L1_P006249_401,outbound,P006249,C1,190872.0,190938.0
R_L1_P006679_P006680_2493,relocate,P006680,C1,190938.0,191004.0
R_L1_P006679_P006681_2494,relocate,P006681,C1,191004.0,191070.0
R_L1_P006679_P006682_2495,relocate,P006682,C1,191070.0,191136.0
R_L1_P006679_P006683_2496,relocate,P006683,C1,191136.0,191202.0
R_L1_P006679_P006684_2497,relocate,P006684,C1,191202.0,191268.0
R_L1_P006679_P006685_2498,relocate,P006685,C1,191268.0,191334.0
R_L1_P006679_P006686_2499,relocate,P006686,C1,191334.0,191400.0
R_L1_P006679_P006687_2500,relocate,P006687,C1,191400.0,191466.0
R_L1_P006679_P006688_2501,relocate,P006688,C1,191466.0,191532.0
OUT_L1_P006679_402,outbound,P006679,C1,191532.0,191598.0
R_L1_P001413_P001414_2502,relocate,P001414,C1,191598.0,191664.0
R_L1_P001413_P001415_2503,relocate,P001415,C1,191664.0,191730.0
OUT_L1_P001413_403,outbound,P001413,C1,191730.0,191796.0
R_L1_P005625_P005626_2504,relocate,P005626,C1,191796.0,191862.0
R_L1_P005625_P005627_2505,relocate,P005627,C1,191862.0,191928.0
R_L1_P005625_P005628_2506,relocate,P005628,C1,191928.0,191994.0
R_L1_P005625_P005629_2507,relocate,P005629,C1,191994.0,192060.0
R_L1_P005625_P005630_2508,relocate,P005630,C1,192060.0,192126.0
R_L1_P005625_P005631_2509,relocate,P005631,C1,192126.0,192192.0
R_L1_P005625_P005632_2510,relocate,P005632,C1,192192.0,192258.0
OUT_L1_P005625_404,outbound,P005625,C1,192258.0,192324.0
OUT_L1_P001145_405,outbound,P001145,C1,192324.0,192390.0
OUT_L1_P006807_406,outbound,P006807,C1,192390.0,192456.0
R_L1_P004812_P004813_2511,relocate,P004813,C1,192456.0,192522.0
R_L1_P004812_P004814_2512,relocate,P004814,C1,192522.0,192588.0
R_L1_P004812_P004815_2513,relocate,P004815,C1,192588.0,192654.0
R_L1_P004812_P004816_2514,relocate,P004816,C1,192654.0,192720.0
OUT_L1_P004812_407,outbound,P004812,C1,192720.0,192786.0
R_L1_P001320_P001321_2515,relocate,P001321,C1,192786.0,192852.0
R_L1_P001320_P001322_2516,relocate,P001322,C1,192852.0,192918.0
R_L1_P001320_P001323_2517,relocate,P001323,C1,192918.0,192984.0
R_L1_P001320_P001324_2518,relocate,P001324,C1,192984.0,193050.0
R_L1_P001320_P001325_2519,relocate,P001325,C1,193050.0,193116.0
R_L1_P001320_P001326_2520,relocate,P001326,C1,193116.0,193182.0
R_L1_P001320_P001327_2521,relocate,P001327,C1,193182.0,193248.0
R_L1_P001320_P001328_2522,relocate,P001328,C1,193248.0,193314.0
OUT_L1_P001320_408,outbound,P001320,C1,193314.0,193380.0
R_L1_P006724_P006725_2523,relocate,P006725,C1,193380.0,193446.0
R_L1_P006724_P006726_2524,relocate,P006726,C1,193446.0,193512.0
R_L1_P006724_P006727_2525,relocate,P006727,C1,193512.0,193578.0
R_L1_P006724_P006728_2526,relocate,P006728,C1,193578.0,193644.0
R_L1_P006724_P006729_2527,relocate,P006729,C1,193644.0,193710.0
R_L1_P006724_P006730_2528,relocate,P006730,C1,193710.0,193776.0
R_L1_P006724_P006731_2529,relocate,P006731,C1,193776.0,193842.0
R_L1_P006724_P006732_2530,relocate,P006732,C1,193842.0,193908.0
R_L1_P006724_P006733_2531,relocate,P006733,C1,193908.0,193974.0
R_L1_P006724_P006734_2532,relocate,P006734,C1,193974.0,194040.0
R_L1_P006724_P006735_2533,relocate,P006735,C1,194040.0,194106.0
R_L1_P006724_P006736_2534,relocate,P006736,C1,194106.0,194172.0
OUT_L1_P006724_409,outbound,P006724,C1,194172.0,194238.0
OUT_L1_P000744_410,outbound,P000744,C1,194238.0,194304.0
R_L1_P002775_P002776_2535,relocate,P002776,C1,194304.0,194370.0
R_L1_P002775_P002777_2536,relocate,P002777,C1,194370.0,194436.0
R_L1_P002775_P002778_2537,relocate,P002778,C1,194436.0,194502.0
R_L1_P002775_P002779_2538,relocate,P002779,C1,194502.0,194568.0
R_L1_P002775_P002780_2539,relocate,P002780,C1,194568.0,194634.0
R_L1_P002775_P002781_2540,relocate,P002781,C1,194634.0,194700.0
R_L1_P002775_P002782_2541,relocate,P002782,C1,194700.0,194766.0
R_L1_P002775_P002783_2542,relocate,P002783,C1,194766.0,194832.0
R_L1_P002775_P002784_2543,relocate,P002784,C1,194832.0,194898.0
OUT_L1_P002775_411,outbound,P002775,C1,194898.0,194964.0
R_L1_P001595_P001596_2544,relocate,P001596,C1,194964.0,195030.0
R_L1_P001595_P001597_2545,relocate,P001597,C1,195030.0,195096.0
R_L1_P001595_P001598_2546,relocate,P001598,C1,195096.0,195162.0
R_L1_P001595_P001599_2547,relocate,P001599,C1,195162.0,195228.0
R_L1_P001595_P001600_2548,relocate,P001600,C1,195228.0,195294.0
OUT_L1_P001595_412,outbound,P001595,C1,195294.0,195360.0
R_L1_P005975_P005976_2549,relocate,P005976,C1,195360.0,195426.0
R_L1_P005975_P005977_2550,relocate,P005977,C1,195426.0,195492.0
R_L1_P005975_P005978_2551,relocate,P005978,C1,195492.0,195558.0
R_L1_P005975_P005979_2552,relocate,P005979,C1,195558.0,195624.0
R_L1_P005975_P005980_2553,relocate,P005980,C1,195624.0,195690.0
R_L1_P005975_P005981_2554,relocate,P005981,C1,195690.0,195756.0
R_L1_P005975_P005982_2555,relocate,P005982,C1,195756.0,195822.0
R_L1_P005975_P005983_2556,relocate,P005983,C1,195822.0,195888.0
R_L1_P005975_P005984_2557,relocate,P005984,C1,195888.0,195954.0
OUT_L1_P005975_413,outbound,P005975,C1,195954.0,196020.0
R_L1_P003953_P003954_2558,relocate,P003954,C1,196020.0,196086.0
R_L1_P003953_P003955_2559,relocate,P003955,C1,196086.0,196152.0
R_L1_P003953_P003956_2560,relocate,P003956,C1,196152.0,196218.0
R_L1_P003953_P003957_2561,relocate,P003957,C1,196218.0,196284.0
R_L1_P003953_P003958_2562,relocate,P003958,C1,196284.0,196350.0
R_L1_P003953_P003959_2563,relocate,P003959,C1,196350.0,196416.0
R_L1_P003953_P003960_2564,relocate,P003960,C1,196416.0,196482.0
R_L1_P003953_P003961_2565,relocate,P003961,C1,196482.0,196548.0
R_L1_P003953_P003962_2566,relocate,P003962,C1,196548.0,196614.0
